"Vulcan Manufacturing Company","United States"
"Vulcan Motor and Engineering Company Limited","United Kingdom"
"Premier","United States"
"Premier Automobiles Limited","India"
"Champion","Germany"
"Ariel",United Kingdom"
"Imperial (Manchester)",United Kingdom"
"Imperial (Croydon)",United Kingdom"
"Imperial (London)",United Kingdom"
"Impéria","Belgium"
"Imperial","United States"
"ABC","United States"
"ABC Motors Limited","United Kingdom"
"Lloyd","United Kingdom","Germany"
"British Leyland","United Kingdom"
"Peerless","United States"
"Peerless Cars Ltd","United Kingdom"
"Talbot","United Kingdom",
"Talbot-Darracqs","France"
"Hispano Suiza","Spain"
"Jackson","United States"
"Singer","United Kingdom"
"Standard","United Kingdom"
"Leader","United States"
"Lambert","United States"
"Automobiles Lambert","France"
"Princess","United States"
"Simca","France"
"Volvo","Sweden"
"Lorraine Motors Corporation","United States"
"Lorraine-Dietrich","France"
"Gumpert","Germany"
"Austin","United Kingdom"
"Case","United States"
"AC","United Kingdom"

